14:16:56:089 [ALWAYS]	GUDE Logging Started
14:16:56:090 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
14:16:56:090 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
14:16:56:090 [ERROR]	Initialize resume cache pointer failure
14:16:56:090 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
14:16:56:090 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
14:16:59:190 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
14:16:59:190 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
14:16:59:190 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
14:16:59:190 [ERROR]	Initialize resume cache pointer failure
14:16:59:190 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
14:16:59:190 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
